"id"	"AGEP"	"CIT"	"COW"	"DDRS"	"INTP"	"LANX"	"MAR"	"MARHT"	"MIG"	"MIL"	"SCHL"	"SEX"	"WAGP"	"WKHP"	"ESR"	"INDP"	"OCCP"	"PINCP"	"RAC1P"
"45"	412	33	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Male"	90000	55	"Civilian employed, at work"	"INF-WIRED TELECOMMUNICATIONS CARRIERS"	"RPR-TELECOMMUNICATIONS LINE INSTALLERS AND REPAIRERS"	90000	"White alone"
"46"	421	9	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"47"	430	13	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	"Grade 7"	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"48"	494	53	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	0	NA	"Not in labor force"	NA	NA	0	"White alone"
"49"	509	41	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Male"	27000	45	"Civilian employed, at work"	"WHL-MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS"	"TRN-DRIVER/SALES WORKERS AND TRUCK DRIVERS"	27000	"White alone"
"50"	525	22	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	18000	40	"Not in labor force"	"PRF-LEGAL SERVICES"	"LGL-MISCELLANEOUS LEGAL SUPPORT WORKERS"	18000	"White alone"
"51"	527	74	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	30000	"No, speaks only English"	"Separated"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Master's degree"	"Male"	30000	21	"Civilian employed, at work"	"PRF-SERVICES TO BUILDINGS AND DWELLINGS, EX CONSTR CLN"	NA	240000	"White alone"
"52"	557	32	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	700	"No, speaks only English"	"Married"	"One time"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Bachelor's degree"	"Male"	91000	50	"Civilian employed, at work"	"FIN-SECURITIES, COMMODITIES, FUNDS, TRUSTS, AND OTHER"	"SAL-FIRST-LINE SUPERVISORS/MANAGERS OF NON-RETAIL SALES"	91700	"White alone"
"53"	560	41	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	50000	40	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-PRESCHOOL AND KINDERGARTEN TEACHERS"	50000	"White alone"
"54"	569	3	"Born in the U.S."	NA	NA	NA	NA	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"55"	574	21	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	6000	20	"Civilian employed, at work"	"FIN-BANKING AND RELATED ACTIVITIES"	"OFF-TELLERS"	6000	"White alone"
"56"	576	38	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	0	NA	"Not in labor force"	NA	NA	0	"White alone"
"57"	614	51	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Female"	77000	47	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"MED-SPEECH-LANGUAGE PATHOLOGISTS"	77000	"White alone"
"58"	621	74	"Born in the U.S."	NA	"No"	229000	"No, speaks only English"	"Married"	"Three or more times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	264400	"White alone"
"59"	637	6	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"60"	654	66	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Married"	"Two times"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS"	18000	"White alone"
"61"	658	51	"Born in the U.S."	"Local government employee (city, county, etc.)"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Associate's degree"	"Female"	40000	40	"Civilian employed, at work"	"EDU-ELEMENTARY AND SECONDARY SCHOOLS"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	40000	"White alone"
"62"	662	46	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Divorced"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	NA	"Male"	2800	2	"Civilian employed, at work"	"RET-HARDWARE STORES"	"TRN-LABORERS AND FREIGHT, STOCK, AND MATERIAL MOVERS, HAND"	2800	"White alone"
"63"	663	39	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	0	NA	"Not in labor force"	NA	NA	8400	"White alone"
"64"	667	9	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"65"	683	82	"Born in the U.S."	NA	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"12th grade - no diploma"	"Male"	0	NA	"Not in labor force"	NA	NA	12000	"White alone"
"66"	692	54	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	10000	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	52000	40	"Civilian employed, at work"	"RET-MISCELLANEOUS RETAIL STORES"	"SAL-RETAIL SALESPERSONS"	62000	"White alone"
"67"	699	23	"Born in the U.S."	"Employee of a private not-for-profit,"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"12th grade - no diploma"	"Female"	2000	40	"Civilian employed, at work"	"MFG-NOT SPECIFIED MANUFACTURING INDUSTRIES"	"PRD-MISCELLANEOUS ASSEMBLERS AND FABRICATORS"	8000	"White alone"
"68"	719	82	"Born in the U.S."	NA	"No"	1900	"No, speaks only English"	"Widowed"	"One time"	"No, different house in US or Puerto Rico"	"Yes, on active duty in the past, but not during the last 12"	"Bachelor's degree"	"Male"	0	NA	"Not in labor force"	NA	NA	14200	"White alone"
"69"	757	55	"Born in the U.S."	"State government employee"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	75000	40	"Civilian employed, at work"	"TRN-BUS SERVICE AND URBAN TRANSIT"	"TRN-SUPERVISORS, TRANSPORTATION AND MATERIAL MOVING WORKERS"	75000	"White alone"
"70"	775	22	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	4000	20	"Unemployed"	"EDU-COLLEGES AND UNIVERSITIES, INCLUDING JUNIOR COLLEGES"	"OFF-OFFICE CLERKS, GENERAL"	4000	"White alone"
"71"	787	70	"Born in the U.S."	NA	"No"	28700	"No, speaks only English"	"Widowed"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Female"	0	NA	"Not in labor force"	NA	NA	57400	"White alone"
"72"	796	51	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"1 or more years of college credit, no degree"	"Female"	24000	24	"Civilian employed, at work"	"MED-HOSPITALS"	"OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS"	24000	"White alone"
"73"	797	77	"Born in the U.S."	NA	"No"	10500	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"GED or alternative credential"	"Male"	0	NA	"Not in labor force"	NA	NA	53200	"White alone"
"74"	803	51	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Regular high school diploma"	"Male"	38000	40	"Civilian employed, at work"	"MFG-MEDICAL EQUIPMENT AND SUPPLIES"	"OFF-SHIPPING, RECEIVING, AND TRAFFIC CLERKS"	38000	"White alone"
"75"	807	27	"Born in Puerto Rico, Guam, the U.S. Virgin Islands,"	"Employee of a private for-profit company or"	"No"	0	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Grade 11"	"Female"	0	NA	"Not in labor force"	"MFG-PULP, PAPER, AND PAPERBOARD MILLS"	"PRD-PAPER GOODS MACHINE SETTERS, OPERATORS, AND TENDERS"	0	"White alone"
"76"	809	0	"Born in the U.S."	NA	NA	NA	NA	"Never married or under 15 years old"	NA	NA	NA	NA	"Female"	NA	NA	NA	NA	NA	NA	"White alone"
"77"	821	42	"Born in the U.S."	"Self-employed in own incorporated"	"No"	5000	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	502000	50	"Civilian employed, at work"	NA	"CON-FIRST-LINE SUPERVISORS/MANAGERS OF CONSTRUCTION TRADES"	854000	"White alone"
"78"	825	42	"Born in the U.S."	"Self-employed in own not incorporated"	"No"	0	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	0	40	"Civilian employed, at work"	"FIN-INSURANCE CARRIERS AND RELATED ACTIVITIES"	"SAL-INSURANCE SALES AGENTS"	53000	"White alone"
"79"	832	45	"Born in the U.S."	NA	"No"	0	"No, speaks only English"	"Divorced"	"Two times"	"No, different house in US or Puerto Rico"	"No, never served in the military"	"Grade 9"	"Male"	0	NA	"Not in labor force"	NA	NA	0	"White alone"
"80"	846	13	"Born in the U.S."	NA	"No"	NA	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"81"	851	2	"Born in the U.S."	NA	NA	NA	NA	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	NA	NA	"Male"	NA	NA	NA	NA	NA	NA	"White alone"
"82"	858	30	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	0	"No, speaks only English"	"Never married or under 15 years old"	NA	"Yes, same house (nonmovers)"	"No, never served in the military"	"Some college, but less than 1 year"	"Female"	22000	30	"Civilian employed, at work"	"MED-OFFICES OF PHYSICIANS"	"HLS-MEDICAL ASSISTANTS AND OTHER HEALTHCARE SUPPORT"	22000	"White alone"
"83"	865	71	"Born in the U.S."	"Self-employed in own not incorporated"	"No"	10000	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"Yes, on active duty in the past, but not during the last 12"	"Bachelor's degree"	"Male"	0	6	"Not in labor force"	NA	"SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER"	46000	"White alone"
"84"	868	66	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	5000	"No, speaks only English"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Bachelor's degree"	"Male"	60000	30	"Civilian employed, at work"	"FIN-REAL ESTATE"	"SAL-REAL ESTATE BROKERS AND SALES AGENTS"	78300	"White alone"
"85"	876	65	"Not a citizen of the U.S."	NA	"No"	500	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Grade 8"	"Male"	0	NA	"Not in labor force"	NA	NA	23300	"White alone"
"86"	880	53	"Born in the U.S."	"Employee of a private for-profit company or"	"No"	300	"Yes, speaks another language"	"Married"	"One time"	"Yes, same house (nonmovers)"	"No, never served in the military"	"Professional degree beyond a bachelor's degree"	"Male"	54000	40	"Civilian employed, at work"	"FIN-INSURANCE CARRIERS AND RELATED ACTIVITIES"	NA	60800	"White alone"
