"County" "State" "pop_estimate" "over65" "females_percent" "white" "births" "deaths" "high_scl" "bachelor" "household_size" "per_capita_inc" "perc_poverty" "unemployment_rate" "govt_employed" "Birth_factor" "Poverty_factor"
"11" "KenaiPeninsula" "Alaska" 53409 9.966485049 47.2 86.51350896 1.211406317 0.6010223 88.5 20.3 2.62 20949 10.3 8.2 10.14810238 "Medium" "Low"
"12" "KetchikanGateway" "Alaska" 13142 10.04413331 48.8 72.04382895 1.339217775 0.578298585 89.6 20.2 2.56 23994 8.8 5.9 18.16314107 "Medium" "Low"
"13" "KodiakIsland" "Alaska" 13049 6.705494674 46.8 61.80550234 1.609318722 0.421488237 85.4 18.7 3.07 22195 7.5 7 18.09334049 "High" "Low"
"14" "LakeandPeninsula" "Alaska" 1488 5.846774194 48.1 21.63978495 2.352150538 1.27688172 72.2 12.4 3.1 15361 18.9 7.2 27.82258065 "High" "High"
"15" "MatanuskaSusitna" "Alaska" 85458 7.552247888 47.6 87.00414239 1.474408481 0.479767839 88.1 18.3 2.84 21105 9.5 7.7 4.981394369 "Medium" "Low"
"16" "Nome" "Alaska" 9261 6.05766116 46.5 18.29176115 2.224381816 0.593888349 74.8 14.7 3.33 15476 23.1 10.5 18.09739769 "High" "High"
"17" "NorthSlope" "Alaska" 6615 4.62585034 46.7 14.30083144 2.721088435 0.619803477 77.4 17 3.45 20540 13.8 4.3 25.66893424 "High" "Medium"
"18" "NorthwestArctic" "Alaska" 7502 5.838443082 47.2 13.74300187 2.479338843 0.706478272 72 12.7 3.87 15286 21.2 11.7 16.64889363 "High" "High"
"19" "PrinceofWalesOuterKetchikan" "Alaska" 5533 9.488523405 44.9 52.81041027 1.21091632 0.52412796 84.1 14.2 2.68 18395 17.9 14.1 15.83227905 "Medium" "Medium"
"20" "Sitka" "Alaska" 8889 12.03734953 48.7 67.63415457 1.361232985 0.742490719 90.6 29.5 2.61 23622 8.4 5.8 15.74980313 "Medium" "Low"
"21" "SkagwayHoonahAngoon" "Alaska" 3066 11.2198304 47.1 59.32811481 1.043705153 0.521852577 84.4 21.6 2.5 19974 13.9 13 18.81930855 "Low" "Medium"
"22" "SoutheastFairbanks" "Alaska" 6753 8.98859766 48.2 80.00888494 2.043536206 0.488671701 86.8 18.2 2.8 16679 13.5 8.8 12.00947727 "High" "Medium"
"23" "ValdezCordova" "Alaska" 9362 8.673360393 46.4 74.53535569 1.33518479 0.523392438 88.5 21.2 2.58 23046 9.5 8.4 15.66972869 "Medium" "Low"
"24" "WadeHampton" "Alaska" 7717 5.351820656 47.8  2.850848775 0.647920176 66.3 9.1 4.38 8717 27.3 20.1 20.17623429 "High" "High"
"25" "WrangellPetersburg" "Alaska" 5910 12.18274112 47.7 71.89509306 1.065989848 0.862944162 85.8 16.3 2.56 23494 9.9 10.6 16.32825719 "Low" "Low"
"26" "Yakutat" "Alaska" 657 10.0456621 45.1 47.94520548 1.522070015 0.456621005 84.3 17.6 2.59 22579 15.1 7.5 20.54794521 "Medium" "Medium"
"27" "YukonKoyukuk" "Alaska" 5701 8.454657078 45.4 24.59217681 1.561129626 1.017365374 74.3 14.2 2.81 13720 23.7 14.3 24.85528855 "High" "High"
"186" "Alameda" "California" 1474368 10.90562193 50.5 56.35214546 1.428815601 0.631321353 82.4 34.9 2.71 26680 11 6.2 8.027439554 "Medium" "Medium"
"187" "Alpine" "California" 1061 12.62959472 47.1 69.08576814 1.225259189 0.094250707 88.3 28.2 2.5 24431 15.9 10.3 20.73515551 "Medium" "Medium"
"188" "Amador" "California" 38238 19.51461897 46 90.44929128 0.716564674 1.064386213 84 16.6 2.39 22412 10.1 7.7 14.60588943 "Low" "Low"
"189" "Butte" "California" 220337 15.00791969 50.8 88.7808221 1.196349229 1.060194157 82.3 21.8 2.48 17517 17.1 8.4 7.411828245 "Medium" "Medium"
"190" "Calaveras" "California" 46843 18.194821 50.6 92.65845484 0.838972739 0.971329761 85.7 17.1 2.44 21420 10.3 8.7 5.450120616 "Low" "Low"
"191" "Colusa" "California" 21204 11.55442369 49.3 92.04395397 1.839275608 0.631956235 64 10.6 3.01 14730 12.7 14 10.67723071 "High" "Medium"
"192" "ContraCosta" "California" 1029703 12.0458035 50.8 71.69203159 1.317855731 0.669319211 86.9 35 2.72 30615 8.7 6.2 4.946766203 "Medium" "Low"
"193" "DelNorte" "California" 29100 13.78006873 45.2 82.28865979 1.250859107 0.931271478 71.6 11 2.58 14573 22.3 8.8 12.81443299 "Medium" "High"
"194" "ElDorado" "California" 176075 11.33039898 50 91.30995314 1.160868948 0.717875905 89.1 26.5 2.63 25560 8.2 6.9 5.502768707 "Medium" "Low"
"195" "Fresno" "California" 909153 9.856976768 49.6 81.18325518 1.856343212 0.667104437 67.5 17.5 3.09 15495 20 10.6 7.547904478 "High" "High"
"196" "Glenn" "California" 28237 12.25696781 49.5 91.41197719 1.614902433 0.910153345 68.5 10.7 2.84 14069 15.8 10.5 8.024931827 "High" "Medium"
"197" "Humboldt" "California" 129000 12.92248062 50.5 86.25193798 1.274418605 0.972868217 84.9 23 2.39 17203 16.9 7.2 10.66046512 "Medium" "Medium"
"198" "Imperial" "California" 163972 10.66828483 48.3 89.93791623 1.908252628 0.568999585 59 10.3 3.33 13239 21 22.9 10.63779182 "High" "High"
"199" "Inyo" "California" 17136 16.21732026 50.9 83.36251167 1.470588235 1.237161531 82.3 17.1 2.31 19639 11.4 6.7 17.76960784 "Medium" "Medium"
"200" "Kern" "California" 800458 8.954623478 48.3 85.41210157 1.887544381 0.673614356 68.5 13.5 3.03 15760 18.1 9.8 7.720330111 "High" "Medium"
"201" "Kings" "California" 149518 7.682687034 42.3 83.99724448 1.795770409 0.540403162 68.8 10.4 3.18 15848 17.2 10.7 13.19506681 "High" "Medium"
"202" "Lake" "California" 64866 16.15484229 50.6 89.79434527 1.071439583 1.190145839 77.3 12.1 2.39 16825 16.4 10.8 6.926587118 "Medium" "Medium"
"203" "Lassen" "California" 34574 8.760918609 36.1 82.57361023 0.818534159 0.662347429 79.6 10.7 2.59 14749 17.2 9.5 17.97593567 "Low" "Medium"
"204" "LosAngeles" "California" 9862049 10.69688459 50.5 74.14341584 1.540927245 0.604752623 69.9 24.9 2.98 20683 14.6 7.5 6.290305392 "Medium" "Medium"
"205" "Madera" "California" 148333 10.31934903 52 87.62918568 1.767644422 0.670113865 65.4 12 3.18 14682 16.9 9.4 7.709006088 "High" "Medium"
"206" "Marin" "California" 248794 15.81388619 50.2 87.97237876 1.099704977 0.731930834 91.2 51.3 2.34 44962 6.8 4.6 5.825301253 "Medium" "Low"
"207" "Mariposa" "California" 17976 18.78615932 49.2 90.64307966 0.884512684 1.012461059 85.1 20.2 2.37 18190 12.5 7.5 10.7587895 "Low" "Medium"
"208" "Mendocino" "California" 86221 15.18307605 50.1 88.78927407 1.283909952 0.905811809 80.8 20.2 2.53 19443 15.4 6.9 8.871388641 "Medium" "Medium"
"209" "Merced" "California" 246117 9.927392257 49.8 85.02460212 1.927132218 0.606622054 63.8 11 3.25 14257 19.3 12.7 6.398176477 "High" "High"
"210" "Modoc" "California" 9184 19.94773519 49.7 91.18031359 0.914634146 1.219512195 77.1 12.4 2.39 17285 19.6 9.7 13.41463415 "Low" "High"
"211" "Mono" "California" 12774 13.12822922 45.3 92.74307186 1.557851887 0.367934868 87.9 28.9 2.43 23422 9.6 6 13.11257241 "Medium" "Low"
"212" "Monterey" "California" 408238 10.17788643 48.1 85.35315184 1.831284692 0.584462985 68.4 22.5 3.14 20165 12.1 8.5 8.93669869 "High" "Medium"
"213" "Napa" "California" 133433 14.49341617 49.4 88.13636806 1.315266838 0.906072711 80.4 26.4 2.62 26395 8.6 5.1 7.617306064 "Medium" "Low"
"214" "Nevada" "California" 97118 17.99975288 50.3 94.52933545 0.83506662 0.910232913 90.3 26.1 2.47 24007 8.8 6.6 5.974175745 "Low" "Low"
"215" "Orange" "California" 3010759 11.38719506 49.9 78.3508411 1.469629419 0.572148086 79.5 30.8 3 25826 8.9 5.3 5.3832605 "Medium" "Low"
"216" "Placer" "California" 341945 15.25040577 50.7 88.83036746 1.138194739 0.727309948 90.5 30.3 2.63 27963 6 6.5 5.760867976 "Medium" "Low"
"217" "Plumas" "California" 20275 19.93094945 50.1 92.81874229 0.902589396 1.055487053 88 17.5 2.29 19391 11.5 10.6 11.72872996 "Low" "Medium"
"218" "Riverside" "California" 2100516 11.49374725 50.1 83.6245951 1.602891861 0.663027561 75 16.6 2.98 18689 11.7 8.6 6.097454149 "High" "Medium"
"219" "Sacramento" "California" 1394154 11.35742536 50.9 69.72178109 1.574861888 0.719432717 83.3 24.8 2.64 21142 12.2 7.2 13.68306514 "High" "Medium"
"220" "SanBenito" "California" 54699 9.003820911 49.1 91.11866762 1.617945483 0.469844056 74.9 17.1 3.32 20932 11.7 9.6 5.093328946 "High" "Medium"
"221" "SanBernardino" "California" 2015355 8.441688933 49.8 80.28138963 1.719300074 0.620238122 74.2 15.9 3.15 16856 12.1 8 6.739755527 "High" "Medium"
"222" "SanDiego" "California" 3001072 11.22945401 49.7 79.53884479 1.562708259 0.642903602 82.6 29.5 2.73 22926 11.1 6 11.23918386 "High" "Medium"
"223" "SanFrancisco" "California" 808976 14.73529499 49.1 58.13584087 1.064679298 0.720787761 81.2 45 2.3 34556 10.6 5.3 12.33831412 "Low" "Medium"
"224" "SanJoaquin" "California" 672388 10.17135939 49.9 72.7163483 1.752559534 0.691416266 71.2 14.5 3 17365 14.2 10.4 5.879938369 "High" "Medium"
"225" "SanLuisObispo" "California" 265297 14.44531977 48.6 90.89435614 1.028281511 0.794581168 85.6 26.7 2.49 21864 11.5 5.7 8.135410502 "Low" "Medium"
"226" "SanMateo" "California" 712690 13.34114412 50.2 67.18250572  0.645020977 85.3 39 2.74 36045 6 4.7 4.573938178 "Medium" "Low"
"227" "SantaBarbara" "California" 405396 12.97324098 49.5 88.67379057  0.691422708 79.2 29.4 2.8 23059 12.2 5.4 9.719878835 "Medium" "Medium"
"228" "SantaClara" "California" 1764499 10.92922127 48.8 62.0391964 1.527232376 0.507339477 83.4 40.5 2.92 32795 8.3 6 5.462967109 "Medium" "Low"
"229" "SantaCruz" "California" 253137 10.56700522 49.8 90.26693056 1.422154802 0.60955135 83.2 34.2 2.71 26396 10.6 7.3 7.602602543 "Medium" "Medium"
"230" "Shasta" "California" 180214 15.25075743 51.1 90.16558092 1.215221903 1.106462317 83.3 16.6 2.52 17738 13.4 10.1 7.739132365 "Medium" "Medium"
"231" "Sierra" "California" 3263 17.9589335 50.1 95.43365002 0.520992951 1.164572479 85.2 17.2 2.32 18815 11.7 10.5 13.30064358 "Low" "Medium"
"232" "Siskiyou" "California" 44542 18.95738853 50.9 89.09568497 1.082124736 1.203358628 83.8 17.7 2.35 17570 17.7 10.2 10.18589197 "Medium" "Medium"
"233" "Solano" "California" 407515 11.22608984 49.7 63.6187625 1.424732832 0.681692698 83.8 21.4 2.9 21731 9.6 6.9 8.136142228 "Medium" "Low"
"234" "Sonoma" "California" 466741 13.12698049 50.4 89.73306395 1.263227357 0.794230633 84.9 28.5 2.6 25724 8.9 5.7 6.461399363 "Medium" "Low"
"235" "Stanislaus" "California" 510694 10.52058571 50.5 86.76076085 1.709046905 0.728028918 70.4 14.1 3.03 16913 13.6 11.1 5.7368992 "High" "Medium"
"236" "Sutter" "California" 92207 12.56520655 50.4 79.73906536 1.7102823 0.752654354 73 15.3 2.87 17428 12.2 12.3 5.078790114 "High" "Medium"
"237" "Tehama" "California" 61550 15.29325751 50.5 92.80422421 1.330625508 0.934199838 75.7 11.3 2.62 15793 19.3 9.1 6.861088546 "Medium" "High"
"238" "Trinity" "California" 14317 26.52790389 49.3 89.64866941 0.852133827 1.089613746 81 15.5 2.29 16868 17 12.4 8.535307676 "Low" "Medium"
"239" "Tulare" "California" 426276 9.576190074 49.8 90.65042367 1.943811052 0.653332583 61.7 11.5 3.28 14006 23.2 10.8 7.477315167 "High" "High"
"240" "Tuolumne" "California" 55644 19.62296025 47.2 91.29645604 0.891380922 1.076486234 84.3 16.1 2.36 21015 12.5 7.9 10.90503918 "Low" "Medium"
"241" "Ventura" "California" 797740 11.44219921 49.9  1.561912403 0.617118359 80.1 26.9 3.04 24600 8.7 6.3 6.33151152 "High" "Low"
"242" "Yolo" "California" 197658 9.6849103 50.9 79.95679406 1.339687743 0.585860426 79.8 34.1 2.71 19365 14.5 7.4 18.32964009 "Medium" "Medium"
"243" "Yuba" "California" 73067 9.24767679 49.8  1.836670453 0.692515089 71.8 10.3 2.87 14124 19.2 12 14.4702807 "High" "High"
"1190" "Allegany" "Maryland" 72238 18.08881752 49.4 91.7038124 1.0036269 1.232038539 79.9 14.1 2.35 16780 14.2 5.8 9.029873474 "Low" "Medium"
"1191" "AnneArundel" "Maryland" 512790 11.38555744 50.4 79.22892412 1.347335166 0.746504417 86.4 30.6 2.65 27578 5 3.9 15.68653835 "Medium" "Low"
"1192" "Baltimore" "Maryland" 785618 14.53823614 52.4 68.83599918 1.266518842 0.981265704 84.3 30.6 2.46 26167 7.6 4.5 7.48620831 "Medium" "Low"
"1193" "Baltimorecity" "Maryland" 636919 11.83886805 53.3 32.71247992 1.567546266 1.119922628 68.4 19.1 2.42 16978 19.9 6.7 12.49169832 "High" "High"
"1194" "Calvert" "Maryland" 88698 10.2516404 50.8 82.30399784 1.148842138 0.700128526 86.9 22.5 2.91 25410 5.2 3.6 4.864822206 "Medium" "Low"
"1195" "Caroline" "Maryland" 33138 12.92775665 51 83.08890096 1.487718028 0.971694128 75 12.1 2.64 17275 11.7 5.5 5.066690808 "Medium" "Medium"
"1196" "Carroll" "Maryland" 169353 12.11670298 50.6 93.16457341 1.167974586 0.762313038 85.3 24.8 2.81 23829 4.7 3.8 5.202151719 "Medium" "Low"
"1197" "Cecil" "Maryland" 99926 11.49650742 50.7 91.56275644 1.365010107 0.774573184 81.2 16.4 2.71 21384 9.3 5.3 5.69821668 "Medium" "Low"
"1198" "Charles" "Maryland" 140764 8.565400244 51.4 55.3493791 1.336989571 0.588928988 85.8 20 2.86 24285 5.9 3.7 7.102668296 "Medium" "Low"
"1199" "Dorchester" "Maryland" 31998 18.06987937 52.6 70.37627352 1.25007813 1.178198637 74.2 12 2.36 18929 13.7 6.9 7.562972686 "Medium" "Medium"
"1200" "Frederick" "Maryland" 225721 10.28880786 50.6 85.28891862 1.329517413 0.615804467 87.1 30 2.72 25404 5.3 3.6 7.259404309 "Medium" "Low"
"1201" "Garrett" "Maryland" 29698 17.01461378 50.7 98.36015893 0.989965654 0.912519362 79.2 13.8 2.55 16219 12.9 5 6.283251397 "Low" "Medium"
"1202" "Harford" "Maryland" 240351 11.70080424 51 83.65182587 1.246094254 0.711043432 86.7 27.3 2.72 24232 5.6 4.2 8.644856897 "Medium" "Low"
"1203" "Howard" "Maryland" 274995 9.562355679 50.8 68.22087674 1.22584047 0.450917289 93.1 52.9 2.71 32402 4.5 3.1 6.48375425 "Medium" NA
"1204" "Kent" "Maryland" 20151 19.59704233 52.2 82.28872016 1.181082825 1.339883877 78.8 21.7 2.33 21573 12.7 4.8 6.168428366 "Medium" "Medium"
"1205" "Montgomery" "Maryland" 950680 12.4687592 51.8 66.94029537 1.462426894 0.548344343 90.3 54.6 2.66 35684 5.1 3.2 9.307863845 "Medium" "Low"
"1206" "PrinceGeorge's" "Maryland" 820852 9.425328805 52 28.10506644 1.542299952 0.652370951 84.9 27.2 2.74 23360 8.1 4.5 11.54130099 "Medium" "Low"
"1207" "QueenAnne's" "Maryland" 47091 13.32101675 50.4 89.44596632 0.968337899 0.73050052 84.2 25.4 2.62 26364 6.1 4.2 5.739950309 "Low" "Low"
"1208" "Somerset" "Maryland" 26119 13.36574907 46.2 55.95543474 1.041387496 0.953328994 69.5 11.6 2.37 15965 23 6.6 11.44377656 "Low" "High"
"1209" "St.Mary's" "Maryland" 101578 9.912579496 50.2 80.63064837 1.515091851 0.633011085 85.3 22.6 2.72 22662 7.7 3.7 14.27868239 "Medium" "Low"
"1210" "Talbot" "Maryland" 36215 23.39086014 52.2 84.09222698 0.994063233 1.226011321 84.4 27.8 2.32 28164 8.3 4.3 5.481154218 "Low" "Low"
"1211" "Washington" "Maryland" 145384 13.92381555 49.1 87.23862323 1.300693336 0.849474495 77.8 14.6 2.46 20062 10.5 5.7 6.374841798 "Medium" "Low"
"1212" "Wicomico" "Maryland" 94046 13.74221126 52.2 72.93771133 1.426961274 0.93677562 80.7 21.9 2.53 19171 13.2 5.4 7.78874168 "Medium" "Medium"
"1213" "Worcester" "Maryland" 49274 22.82948411 51.5 83.42939481 0.949790965 1.144619881 81.7 21.6 2.33 22505 9.2 7.5 7.912895239 "Low" "Low"
"1981" "Albany" "New York" 298130 13.71247442 51.8 81.81866971 1.033777211 0.886526012 86.3 33.3 2.32 23345 11.7 4.9 22.85848455 "Low" "Medium"
"1982" "Allegany" "New York" 49649 15.16848275 49.7 96.53568048 1.017140325 0.886221273 83.2 17.2 2.53 14975 16.7 6.5 8.622530162 "Low" "Medium"
"1983" "Bronx" "New York" 1391903 10.64125877 53.2 49.5872198 1.628633604 0.685033368 62.3 14.6 2.78 13959 27.1 7.4 1.831521306 "High" "High"
"1984" "Broome" "New York" 195018 16.72102062 51.5 90.09886267 1.092206873 1.10143679 83.8 22.7 2.37 19168 14.5 5.7 10.65542668 "Medium" "Medium"
"1985" "Cattaraugus" "New York" 79688 15.22061038 50.9 93.71298062 1.291286015 1.001405481 81.2 14.9 2.52 15959 15.8 6.2 13.26925008 "Medium" "Medium"
"1986" "Cayuga" "New York" 79823 14.78521228 49.4 93.72737181 1.077383711 0.974656427 79.1 15.5 2.53 18003 12.7 5.7 7.950089573 "Medium" "Medium"
"1987" "Chautauqua" "New York" 133789 15.9587111 50.8 95.1109583 1.127895417 1.062120204 81.2 16.9 2.45 16840 15.1 5.6 7.552937835 "Medium" "Medium"
"1988" "Chemung" "New York" 87813 15.33599809 50.3 90.52304329 1.159281655 1.031737898 82.1 18.6 2.44 18264 16 5.7 8.235682644 "Medium" "Medium"
"1989" "Chenango" "New York" 50898 15.91221659 50.6 97.25922433 1.057015993 0.990215726 80.6 14.4 2.52 16427 12.4 6.5 9.069118629 "Low" "Medium"
"1990" "Clinton" "New York" 81947 13.54656058 48.9 93.9363247 0.940852014 0.751705371 76.4 17.8 2.47 17946 13.2 6.7 10.10531197 "Low" "Medium"
"1991" "Columbia" "New York" 62006 16.98061478 50.1 91.71854337 0.972486534 1.05957488 81 22.6 2.43 22265 10 4.9 7.978260168 "Low" "Low"
"1992" "Cortland" "New York" 48302 12.88973541 51.8 96.07676701 1.062067823 0.90679475 82.8 18.8 2.5 16622 14.8 6.5 7.960332905 "Low" "Medium"
"1993" "Delaware" "New York" 46085 19.3078008 50.8 96.03558642 1.024194423 1.176087664 79.9 16.6 2.39 17357 14.2 6.1 10.26581317 "Low" "Medium"
"1994" "Dutchess" "New York" 292878 12.85654778 49.9 84.37164963 1.048900908 0.767213652 84 27.6 2.63 23940 8.7 5.2 7.788567253 "Low" "Low"
"1995" "Erie" "New York" 909845 15.57309212 51.8 82.60176184 1.09689013 1.036440273 82.9 24.5 2.41 20357 13.7 5.8 8.466057405 "Medium" "Medium"
"1996" "Essex" "New York" 37826 17.01210807 48.1 95.05895416 0.978163168 1.073335801 80.4 18.3 2.39 18194 12.4 6.8 12.64474171 "Low" "Medium"
"1997" "Franklin" "New York" 50521 13.44391441 45.1 84.99040003 1.041151204 0.845193088 69.7 13 2.46 15888 15.6 7.1 17.0661705 "Low" "Medium"
"1998" "Fulton" "New York" 55024 15.5931957 50.7 95.6600756 1.03954638 0.999563827 77.8 13.5 2.43 16844 15.9 6.9 7.424033149 "Low" "Medium"
"1999" "Genesee" "New York" 57821 15.70190761 50.3 94.44492485 1.099946386 0.916621989 84.4 16.3 2.59 18498 11.9 5.7 10.53596444 "Medium" "Medium"
"2000" "Greene" "New York" 48992 15.43721424 48.3 91.13528739 0.91443501 1.047109732 78.6 16.4 2.42 18931 12.6 6 9.193337688 "Low" "Medium"
"2001" "Hamilton" "New York" 5021 22.10714997 50.4 98.10794662 0.637323242 1.214897431 83.4 18.4 2.24 18643 13.1 6.4 15.0965943 "Low" "Medium"
"2002" "Herkimer" "New York" 62200 16.18167203 51.2 97.02893891 1.038585209 1.128617363 79.4 15.7 2.46 16141 12.3 6.2 7.599678457 "Low" "Medium"
"2003" "Jefferson" "New York" 118046 11.44130254 48.8 90.35969029 1.425715399 0.714975518 82.9 16 2.58 16202 14.7 6.9 23.84578893 "Medium" "Medium"
"2004" "Kings" "New York" 2556598 12.29634068 52.7 51.35652926 1.583823503 0.646679689 68.8 21.8 2.75 16775 21.9 5.9 1.552023431 "High" "High"
"2005" "Lewis" "New York" 26176 14.89532396 50.1 97.86445599 1.260696822 0.893948655 81 11.7 2.66 14971 15.1 6.8 9.35207824 "Medium" "Medium"
"2006" "Livingston" "New York" 63154 12.89862875 50 94.36931944 1.030813567 0.775881179 82.3 19.2 2.6 18062 12.8 6 11.19169015 "Low" "Medium"
"2007" "Madison" "New York" 69766 13.29730814 50.9 95.83894734 1.07645558 0.782616174 83.3 21.6 2.55 19105 11 5.8 6.731072442 "Medium" "Medium"
"2008" "Monroe" "New York" 732762 13.58217266 51.5 80.46732773 1.215401454 0.840927887 84.9 31.2 2.47 22821 13.3 5.5 6.727150152 "Medium" "Medium"
"2009" "Montgomery" "New York" 48679 17.19632696 51.8 95.67164486 1.281866924 1.259269911 78.1 13.6 2.42 17005 11 7.2 6.579839356 "Medium" "Medium"
"2010" "Nassau" "New York" 1351625 15.00253399 51.4 80.09921391 1.12730972 0.772403588 86.7 35.4 2.93 32151 4.7 4.7 6.395708869 "Medium" "Low"
"2011" "NewYork" "New York" 1634795 12.86375356 52.1 67.03727379 1.252695292 0.639223878 78.7 49.4 2 42922 17.7 4.9 27.98693414 "Medium" "Medium"
"2012" "Niagara" "New York" 214464 15.40351761 51.6 89.98106908 1.028144584 1.066379439 83.3 17.4 2.45 19219 11.9 6.9 7.365804984 "Low" "Medium"
"2013" "Oneida" "New York" 231590 16.12720757 50 90.59242627 1.122241893 1.044086532 79 18.3 2.43 18516 14.5 5.5 12.25355154 "Medium" "Medium"
"2014" "Onondaga" "New York" 452633 13.74667777 51.8 84.11229407 1.211135732 0.877753058 85.7 28.5 2.46 21336 12.8 5.3 9.160843332 "Medium" "Medium"
"2015" "Ontario" "New York" 104475 14.50681981 50.9 95.01316104 1.09021297 0.874850443 87.4 24.7 2.53 21533 9.5 5.2 8.143575018 "Medium" "Low"
"2016" "Orange" "New York" 379647 10.0793632 49.7 84.53905865 1.451084824 0.642175495 81.8 22.5 2.85 21597 10.5 5.5 8.991247132 "Medium" "Low"
"2017" "Orleans" "New York" 42135 13.57778569 50.3 90.31921206 1.098848938 0.833036668 76.4 13 2.65 16457 13.4 7 10.50195799 "Medium" "Medium"
"2018" "Oswego" "New York" 121395 12.00955558 50.5 96.93974216 1.135137362 0.8863627 80.4 14.4 2.6 16853 13.8 7.1 7.735079699 "Medium" "Medium"
"2019" "Otsego" "New York" 61962 15.51757529 51.9 95.32778154 0.88602692 0.927988122 83 22 2.43 16806 15.7 5.7 8.164681579 "Low" "Medium"
"2020" "Putnam" "New York" 99244 11.60775462 49.7 93.55225505 1.051952763 0.600540083 90.2 33.9 2.86 30127 6.7 4.5 4.880899601 "Low" "Low"
"2021" "Queens" "New York" 2293007 13.34169499 51.4 55.00981898 1.324156446 0.645440681 74.4 24.3 2.81 19222 12.2 4.9 1.758607802 "Medium" "Medium"
"2022" "Rensselaer" "New York" 155261 13.09279214 50.6 89.79460393 1.123269849 0.92296198 84.9 23.7 2.46 21095 10.6 5.3 7.509290807 "Medium" "Medium"
"2023" "Richmond" "New York" 487407 12.13934145 51.3 79.57989934 1.209051163 0.738397274 82.6 23.2 2.78 23905 10.1 5 1.670062186 "Medium" "Low"
"2024" "Rockland" "New York" 298545 13.48473429 50.7 80.33763754 1.582006063 0.686663652 85.3 37.5 3.01 28082 8.8 4.8 7.483293976 "High" "Low"
"2025" "Saratoga" "New York" 217191 12.34213204 50.5 95.14758899 1.099032649 0.67083811 88.2 30.9 2.51 23945 6.9 4.6 6.510398681 "Medium" "Low"
"2026" "Schenectady" "New York" 151427 15.47016054 51.4 84.21153427 1.222371176 0.973406328 84.8 26.3 2.38 21992 11.1 5.2 7.444511217 "Medium" "Medium"
"2027" "Schoharie" "New York" 31910 15.28361015 50.3 96.59041053 0.918207458 0.911939831 81.7 17.3 2.49 17778 12.7 6.9 9.338765277 "Low" "Medium"
"2028" "Schuyler" "New York" 18888 16.02604828 49.9 95.96039814 0.868276154 0.931808556 82.4 15.5 2.52 17039 11.4 5.9 6.835027531 "Low" "Medium"
"2029" "Seneca" "New York" 34086 14.63650766 48 92.23141466 1.038549551 0.959338145 79.1 17.5 2.51 17630 12.1 5.6 9.654990319 "Low" "Medium"
"2030" "St.Lawrence" "New York" 109701 13.68355804 49.4 94.6964932 1.163161685 0.943473624 79.2 16.4 2.49 15728 15.9 7.2 9.733730777 "Medium" "Medium"
"2031" "Steuben" "New York" 96573 15.5426465 51 95.96160418 1.149389581 0.991995692 82.8 17.9 2.49 18197 15 6.2 8.857548176 "Medium" "Medium"
"2032" "Suffolk" "New York" 1512224 13.06023446 50.6 86.9889646 1.263900057 0.736134329 86.2 27.5 2.96 26577 5.3 5 7.208720401 "Medium" "Low"
"2033" "Sullivan" "New York" 76189 14.5755949 49.3 86.91280894 1.279712294 0.942393259 76.2 16.7 2.5 18892 14.2 6.6 8.524852669 "Medium" "Medium"
"2034" "Tioga" "New York" 50171 14.53229954 50.6 96.99228638 1.221821371 0.867034741 84.8 19.7 2.6 18673 10.3 5.4 5.574933727 "Medium" "Low"
